,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
GMPS,0.21 # 0.21 # 0.21,0.21 # 0.17 # 0.14 # 0.14,58.6792 # 117.3584,88.3 # 88.3 # 9.47 # 6.77 # 9.47 # 9.47 # 6.77
DASYN140,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.4538 # 31.4538,5.81 # 5.81 # 34.28 # 6.76 # 34.28 # 34.28 # 6.76
FACOAL60t2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,60.7731 # 60.7731,nan # nan # 9.13 # 6.75 # 9.13 # 9.13 # 6.75
EAR181x,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.8639 # 111.4558,15.56 # 14.67 # 16.64 # 6.74 # 16.64 # 16.64 # 6.74
AGM3PA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.5362 # 20.5362,nan # nan # 49.06 # 6.73 # 49.06 # 49.06 # 6.73
CTECOAI7,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,79.5939 # 159.1878,95.43 # 95.43 # 12.1 # 6.73 # 12.1 # 12.1 # 6.73
LPLIPAL2ATE141,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.9783 # 38.9783,nan # nan # 16.76 # 6.71 # 16.76 # 16.76 # 6.71
3OXCOAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,42.2765 # 42.2765,173.11 # 173.11 # 15.37 # 6.7 # 15.37 # 15.37 # 6.7
PSD160,0.06 # 0.06 # 0.06,0.06 # 0.05 # 0.04 # 0.04,35.9344 # 35.9344,nan # nan # 12.77 # 6.7 # 12.77 # 12.77 # 6.7
TYRTA_reverse,0.12 # 0.0 # 0.12,0.12 # 0.1 # 0.0 # 0.08,34.0936 # 87.0756,145.26 # 132.55 # 10.75 # 6.7 # 10.75 # 10.75 # 6.7
SEPHCHCS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,61.3671 # 122.7341,0.19 # 0.19 # 0.05 # 6.69 # 0.05 # 0.05 # 6.69
OHPHM,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.5554 # 53.1109,nan # nan # 11.02 # 6.69 # 11.02 # 11.02 # 6.69
ALDD19xr,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.6991 # 214.7965,29.95 # 29.95 # 96.8 # 6.68 # 96.8 # 96.8 # 6.68
6D6SFK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.728 # 31.728,nan # nan # 22.17 # 6.68 # 22.17 # 22.17 # 6.68
AST,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.4559 # 38.4559,nan # nan # 22.99 # 6.68 # 22.99 # 22.99 # 6.68
PYK4,0.0 # 0.16 # 0.0,0.0 # 0.0 # 0.0 # 0.0,51.3571 # 205.4286,427.98 # 427.98 # 14.47 # 6.66 # 14.47 # 14.47 # 6.66
CLPNS161pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,47.6335 # 47.6335,nan # nan # 21.04 # 6.66 # 21.04 # 21.04 # 6.66
XYLI1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,49.742 # 198.968,24.3 # 24.3 # 12.72 # 6.65 # 12.72 # 12.72 # 6.65
HACD7_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.0722 # 77.0722,1379.3 # 1379.3 # 17.26 # 6.65 # 17.26 # 17.26 # 6.65
CRNCBCT_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.1268 # 90.2535,nan # nan # 21.97 # 6.65 # 21.97 # 21.97 # 6.65
TRPAS2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.7735 # 211.0938,5.27 # 5.27 # 4.0 # 6.64 # 4.0 # 4.0 # 6.64
PYK6,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,51.3571 # 205.4286,nan # nan # 22.33 # 6.63 # 22.33 # 22.33 # 6.63
DASYN141,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.4538 # 31.4538,5.81 # 5.81 # 9.68 # 6.63 # 9.68 # 9.68 # 6.63
HACD8_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.0722 # 77.0722,1379.3 # 1379.3 # 9.88 # 6.61 # 9.88 # 9.88 # 6.61
CYTDH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.5608 # 32.5608,11.24 # 11.24 # 11.6 # 6.6 # 11.6 # 11.6 # 6.6
ALDD3y,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.501999999999995 # 36.501999999999995,nan # nan # 17.26 # 6.6 # 17.26 # 17.26 # 6.6
AP4AS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,57.8266 # 115.6531,nan # nan # 3.4 # 6.59 # 3.4 # 3.4 # 6.59
ACACT8r,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.8762 # 46.5305,nan # nan # 9.97 # 6.59 # 9.97 # 9.97 # 6.59
NMNDA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,17.582 # 35.164,2.59 # 2.59 # 37.02 # 6.57 # 37.02 # 37.02 # 6.57
AGM3PApp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.072 # 31.072,nan # nan # 12.29 # 6.56 # 12.29 # 12.29 # 6.56
PETNT161pp,-0.0 # 0.0 # 0.0,-0.0 # 0.0 # 0.0 # 0.0,63.8044 # 63.8044,nan # nan # 16.35 # 6.56 # 16.35 # 16.35 # 6.56
R5PPpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.1035 # 98.8772,nan # nan # 4.9 # 6.55 # 4.9 # 4.9 # 6.55
E4PP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.7798 # 20.7798,nan # nan # 36.51 # 6.55 # 36.51 # 36.51 # 6.55
5DKGR_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.07 # 27.07,nan # nan # 31.31 # 6.53 # 31.31 # 31.31 # 6.53
AAMYL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,56.6394 # 56.6394,nan # nan # 31.12 # 6.53 # 31.12 # 31.12 # 6.53
PSD140,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,35.9344 # 35.9344,nan # nan # 24.06 # 6.52 # 24.06 # 24.06 # 6.52
NDPK3_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,15.4634 # 23.586,194.85 # 184.64 # 20.23 # 6.52 # 20.23 # 20.23 # 6.52
ACP1_FMN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.122 # 27.122,40.75 # 40.75 # 9.4 # 6.52 # 9.4 # 9.4 # 6.52
PGSA161,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.7006 # 20.7006,nan # nan # 33.65 # 6.52 # 33.65 # 33.65 # 6.52
METS,0.14 # 0.0 # 0.14,0.14 # 0.11 # 0.0 # 0.09,84.6735 # 84.6735,170.34 # 146.03 # 9.84 # 0.31 # 9.84 # 9.84 # 6.5
URACPAH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.2087 # 25.2087,nan # nan # 35.67 # 6.5 # 35.67 # 35.67 # 6.5
TPRDCOAS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.6444 # 31.6444,nan # nan # 14.29 # 6.49 # 14.29 # 14.29 # 6.49
AMPNTAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,16.57 # 16.57,nan # nan # 13.59 # 6.46 # 13.59 # 13.59 # 6.46
IPPMIb,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,72.3693 # 72.3693,3.2 # 2.67 # 12.39 # 6.46 # 12.39 # 12.39 # 6.46
O16AT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.6751 # 21.6751,nan # nan # 14.85 # 6.46 # 14.85 # 14.85 # 6.46
PSP_Lpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.1035 # 98.8772,166.81 # 166.81 # 1.43 # 6.45 # 1.43 # 1.43 # 6.45
ALLK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.8209 # 33.8209,21.43 # 21.43 # 47.0 # 6.45 # 47.0 # 47.0 # 6.45
AHGDx,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,44.1758 # 176.7031,11.15 # 11.15 # 13.18 # 6.43 # 13.18 # 13.18 # 6.43
FMNRx,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.2533 # 26.241999999999997,52.35 # 52.35 # 24.53 # 6.42 # 24.53 # 24.53 # 6.42
DHACOAH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.2374 # 27.2374,1111.9 # 1111.9 # 16.42 # 6.42 # 16.42 # 16.42 # 6.42
MMCD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.1726 # 175.0355,74.64 # 74.64 # 15.17 # 6.39 # 15.17 # 15.17 # 6.39
NO3R2bpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,132.4391 # 132.4391,nan # nan # 17.14 # 6.37 # 17.14 # 17.14 # 6.37
RNDR1b,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,126.0597 # 242.982,nan # nan # 29.13 # 6.34 # 29.13 # 29.13 # 6.34
DMQMT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.5554 # 53.1109,nan # nan # 20.03 # 6.32 # 20.03 # 20.03 # 6.32
DOGULNR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.5727 # 73.1454,nan # nan # 17.01 # 6.31 # 17.01 # 17.01 # 6.31
LCADi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.2728 # 209.0912,87.96 # 87.96 # 18.25 # 6.31 # 18.25 # 18.25 # 6.31
EDTXS2,-0.0 # 0.0 # 0.0,-0.0 # 0.0 # 0.0 # 0.0,37.4104 # 37.4104,nan # nan # 8.84 # 6.31 # 8.84 # 8.84 # 6.31
PDXPP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.2013 # 30.2013,5.2 # 5.2 # 40.59 # 6.31 # 40.59 # 40.59 # 6.31
LPLIPAL2E160,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.9783 # 38.9783,1034.85 # 1034.85 # 21.98 # 6.3 # 21.98 # 21.98 # 6.3
ASAD_reverse,0.94 # 0.94 # 0.94,0.94 # 0.76 # 0.63 # 0.63,40.0179 # 80.0358,212.52 # 204.1 # 56.18 # 6.3 # 56.18 # 56.18 # 6.3
2AGPEAT180,-0.0 # 0.0 # 0.0,-0.0 # 0.0 # 0.0 # 0.0,80.7 # 80.7,nan # nan # 6.57 # 6.29 # 6.57 # 6.57 # 6.29
FEENTERES,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.6519 # 45.6519,nan # nan # 21.27 # 6.29 # 21.27 # 21.27 # 6.29
PSSA180,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.8018 # 52.8018,nan # nan # 9.34 # 6.27 # 9.34 # 9.34 # 6.27
ACNML,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.5935 # 130.3739,9.95 # 9.95 # 10.0 # 6.26 # 10.0 # 10.0 # 6.26
ALATA_L2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.4947 # 90.6332,nan # 1.3 # 8.36 # 6.25 # 8.36 # 8.36 # 6.25
DTMPK_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.7831 # 23.7831,2.97 # 3.17 # 23.76 # 6.24 # 23.76 # 23.76 # 6.24
CYTK1_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.7463 # 24.7463,83.45 # 83.45 # 103.0 # 6.23 # 103.0 # 103.0 # 6.23
GLTPD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,37.3901 # 74.7803,nan # nan # 8800.0 # 6.23 # 8800.0 # 8800.0 # 6.23
FALDH2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,39.359 # 78.718,1885.21 # 1885.21 # 14.54 # 6.23 # 14.54 # 14.54 # 6.23
HEPT3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.7307 # 38.7307,nan # nan # 11.95 # 6.22 # 11.95 # 11.95 # 6.22
OCTNLL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,37.9259 # 37.9259,nan # nan # 10.36 # 6.22 # 10.36 # 10.36 # 6.22
PYROX,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,59.9682 # 59.9682,nan # nan # 10.38 # 6.22 # 10.38 # 10.38 # 6.22
SHGO,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,46.082 # 46.082,nan # nan # 15.51 # 6.21 # 15.51 # 15.51 # 6.21
AMPN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.9949 # 323.9695,41.33 # 41.33 # 24.83 # 6.2 # 24.83 # 24.83 # 6.2
UDCPDPpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,22.3986 # 22.3986,nan # nan # 9.0 # 6.2 # 9.0 # 9.0 # 6.2
GNP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.7798 # 20.7798,nan # nan # 22.94 # 6.19 # 22.94 # 22.94 # 6.19
ALAGLUE_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.674 # 34.674,6.91 # 6.91 # 40.35 # 6.18 # 40.35 # 40.35 # 6.18
ILETA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.0936 # 204.5619,238.98 # 222.83 # 34.72 # 6.17 # 34.72 # 34.72 # 6.17
PACCOAE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,131.963 # 131.963,nan # nan # 12.51 # 6.16 # 12.51 # 12.51 # 6.16
RBP4E_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.2777 # 25.2777,17.79 # 17.79 # 24.75 # 6.15 # 24.75 # 24.75 # 6.15
ALDD2y,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.41 # 29.41,16.28 # 16.28 # 33.04 # 6.14 # 33.04 # 33.04 # 6.14
CRNCBCT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.1268 # 90.2535,nan # nan # 17.9 # 6.13 # 17.9 # 17.9 # 6.13
FACOAE141,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.9663 # 127.8653,nan # nan # 22.34 # 6.13 # 22.34 # 22.34 # 6.13
O16GALFT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,37.7572 # 37.7572,nan # nan # 12.68 # 6.13 # 12.68 # 12.68 # 6.13
KAS15,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.5151 # 67.0302,10.38 # 10.07 # 20.53 # 6.12 # 20.53 # 20.53 # 6.12
NDPK1,0.69 # 0.0 # 2.17,0.69 # 0.56 # 1.45 # 1.45,15.4634 # 23.586,194.85 # 184.64 # 13.23 # 6.12 # 13.23 # 13.23 # 6.12
FACOAL161t2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,60.7731 # 60.7731,nan # nan # 8.52 # 6.11 # 8.52 # 8.52 # 6.11
ILETA_reverse,0.25 # 0.25 # 0.25,0.25 # 0.21 # 0.17 # 0.17,34.0936 # 204.5619,18.55 # 18.25 # 10.91 # 6.1 # 10.91 # 10.91 # 6.1
GTPDPK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,83.8756 # 83.8756,11.72 # 11.72 # 11.3 # 6.09 # 11.3 # 11.3 # 6.09
OBTFL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,113.5615 # 114.1398,7.98 # 7.98 # 4.33 # 6.09 # 4.33 # 4.33 # 6.09
ANHMK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,39.4963 # 39.4963,nan # nan # 10.28 # 6.07 # 10.28 # 10.28 # 6.07
GALCTLO,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.4479 # 36.4479,nan # nan # 12.14 # 6.07 # 12.14 # 12.14 # 6.07
TRSARr_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.4274 # 30.4274,243.0 # 243.0 # 25.12 # 6.07 # 25.12 # 25.12 # 6.07
PSSA120,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.8018 # 52.8018,nan # nan # 19.2 # 6.06 # 19.2 # 19.2 # 6.06
ACGAMK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.0427 # 33.0427,10.33 # 10.33 # 13.33 # 6.05 # 13.33 # 13.33 # 6.05
TKT1_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,72.2117 # 73.0427,12448.92 # 12083.08 # 26.72 # 6.05 # 26.72 # 26.72 # 6.05
GHBDHx,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.1581 # 124.6326,1329.0 # 1329.0 # 44.38 # 6.04 # 44.38 # 44.38 # 6.04
SSALx,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,49.7179 # 99.4357,50.76 # 50.76 # 24.81 # 6.04 # 24.81 # 24.81 # 6.04
O16A4Lpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,46.8777 # 46.8777,nan # nan # 11.69 # 6.04 # 11.69 # 11.69 # 6.04
NADPHXE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,54.65 # 54.65,nan # nan # 12.96 # 6.03 # 12.96 # 12.96 # 6.03
KG6PDC,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.4448 # 23.4448,45.25 # 45.25 # 34.04 # 6.03 # 34.04 # 34.04 # 6.03
3AMACHYD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.8981 # 28.8981,nan # nan # 30.38 # 6.03 # 30.38 # 30.38 # 6.03
NADH10,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.17 # 40.34,nan # 3234.95 # 32.53 # 6.02 # 32.53 # 32.53 # 6.02
G3PAT161,0.07 # 0.0 # 0.0,0.07 # 0.0 # 0.0 # 0.0,100.021 # 100.021,0.03 # 0.03 # 10.03 # 6.02 # 10.03 # 10.03 # 6.02
ACPS1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,14.0523 # 21.7678,0.41 # 0.41 # 1.0 # 6.0 # 1.0 # 1.0 # 6.0
PLIPA1A161pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.1631 # 66.3263,nan # nan # 44.31 # 5.99 # 44.31 # 44.31 # 5.99
HADPCOADH3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,51.7326 # 51.7326,1379.3 # 1379.3 # 20.97 # 5.99 # 20.97 # 20.97 # 5.99
THIORDXi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.4696 # 20.4696,952.58 # 952.58 # 14.28 # 5.99 # 14.28 # 14.28 # 5.99
PTHRpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.1035 # 98.8772,nan # nan # 22.35 # 5.99 # 22.35 # 22.35 # 5.99
CRNBTCT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.1268 # 90.2535,nan # nan # 15.1 # 5.98 # 15.1 # 15.1 # 5.98
PUACGAMS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,66.848 # 66.848,nan # nan # 9.53 # 5.98 # 9.53 # 9.53 # 5.98
OMMBLHXy,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,42.9535 # 42.9535,nan # nan # 20.07 # 5.98 # 20.07 # 20.07 # 5.98
MALDDH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.3149 # 40.3149,nan # nan # 23.26 # 5.98 # 23.26 # 23.26 # 5.98
LACZpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,83.46 # 83.46,531.1 # 531.1 # 13.73 # 5.96 # 13.73 # 13.73 # 5.96
MLTP3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,90.5224 # 181.0448,49.31 # 49.31 # 28.0 # 5.95 # 28.0 # 28.0 # 5.95
LPLIPAL1A140pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.6222 # 94.4886,1034.85 # 1034.85 # 12.76 # 5.95 # 12.76 # 12.76 # 5.95
M1PD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.138999999999996 # 41.138999999999996,67.89 # 67.89 # 190.0 # 5.95 # 190.0 # 190.0 # 5.95
LPLIPAL2E180,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.9783 # 38.9783,1034.85 # 1034.85 # 13.09 # 5.94 # 13.09 # 13.09 # 5.94
ALAALAD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.213 # 21.213,103.78 # 103.78 # 19.66 # 5.94 # 19.66 # 19.66 # 5.94
3OAR100_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.5603 # 102.2412,88.0 # 85.49 # 22.42 # 5.93 # 22.42 # 22.42 # 5.93
2AGPEAT181,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,80.7 # 80.7,nan # nan # 8.55 # 5.92 # 8.55 # 8.55 # 5.92
S2FE2SR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,189.3845 # 277.20099999999996,nan # nan # 8.68 # 5.92 # 8.68 # 8.68 # 5.92
NTPP5,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,17.3058 # 17.3058,14.29 # 14.29 # 11.6 # 5.92 # 11.6 # 11.6 # 5.92
GTHPi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.4696 # 20.4696,15476.06 # 15476.06 # 16.57 # 5.89 # 16.57 # 16.57 # 5.89
PGSA180,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.7006 # 20.7006,nan # nan # 27.89 # 5.89 # 27.89 # 27.89 # 5.89
CLPNS181pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,47.6335 # 47.6335,nan # nan # 15.94 # 5.88 # 15.94 # 15.94 # 5.88
CBIAT_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.9989 # 21.9989,176.33 # 176.33 # 20.99 # 5.87 # 20.99 # 20.99 # 5.87
PACCOAL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,48.9529 # 48.9529,31.82 # 31.82 # 10.95 # 5.87 # 10.95 # 10.95 # 5.87
G3PAT140,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,100.021 # 100.021,0.03 # 0.03 # 11.04 # 5.86 # 11.04 # 11.04 # 5.86
BETALDHy,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.9111 # 211.6445,80.34 # 80.34 # 18.43 # 5.84 # 18.43 # 18.43 # 5.84
HEPK1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,30.8723 # 30.8723,nan # nan # 11.44 # 5.83 # 11.44 # 11.44 # 5.83
VPAMTr,0.0 # 0.37 # 0.37,0.0 # 0.0 # 0.25 # 0.25,46.7112 # 46.7112,nan # nan # 10.8 # 5.81 # 10.8 # 10.8 # 5.81
DSBAO1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,43.2467 # 43.2467,nan # nan # 11.83 # 5.8 # 11.83 # 11.83 # 5.8
DHBS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,59.1122 # 118.2243,3.44 # 3.44 # 5.83 # 5.8 # 5.83 # 5.83 # 5.8
AACPS3,0.11 # 0.04 # 0.04,0.11 # 0.09 # 0.0 # 0.0,89.3395 # 89.3395,0.02 # 0.02 # 7.59 # 5.78 # 7.59 # 7.59 # 5.78
CRNCAR_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.1902 # 28.1902,nan # nan # 59.13 # 5.76 # 59.13 # 59.13 # 5.76
FACOAL160t2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,60.7731 # 60.7731,nan # nan # 8.46 # 5.76 # 8.46 # 8.46 # 5.76
SPMS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.3214 # 64.6428,6.95 # 6.95 # 16.69 # 5.76 # 16.69 # 16.69 # 5.76
AM4PA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,20.5362 # 20.5362,nan # nan # 30.06 # 5.75 # 30.06 # 30.06 # 5.75
GLUNpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.8507 # 147.4028,35.4 # 35.4 # 33.0 # 5.74 # 33.0 # 33.0 # 5.74
PCNO,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,34.724000000000004 # 69.44800000000001,37.33 # 37.33 # 11.07 # 5.73 # 11.07 # 11.07 # 5.73
GGGABADr,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.4186 # 53.4186,nan # nan # 23.48 # 5.73 # 23.48 # 23.48 # 5.73
FACOAL181t2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,60.7731 # 60.7731,nan # nan # 0.03 # 5.73 # 0.03 # 0.03 # 5.73
ASPT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.3561 # 209.4245,131.9 # 131.9 # 180.0 # 5.72 # 180.0 # 180.0 # 5.72
CHOLID,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.779 # 107.116,nan # nan # 17.1 # 5.71 # 17.1 # 17.1 # 5.71
DHFR_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,17.9994 # 17.9994,10.04 # 10.04 # 10.0 # 5.71 # 10.0 # 10.0 # 5.71
